altitude,Sea Level,Sea Level,Sea Level,Sea Level,Sea Level,5000 ft,5000 ft,10000 ft,10000 ft,15000 ft,15000 ft,20000 ft,20000 ft,25000 ft,25000 ft,30000 ft,30000 ft
param,V_o,C_L,C_D,T_reqd,THP_reqd,V,THP_reqd,V,THP_reqd,V,THP_reqd,V,THP_reqd,V,THP_reqd,V,THP_reqd
0,50.0,2.607634458324786,0.36018811594389727,345.3207511447863,46.042766819304845,53.865201079435046,49.60205785950791,58.185952108358286,53.580844501687594,63.035858928451944,58.046907077946166,68.50389902527023,63.08218098067444,74.6984195747118,68.78643828498105,81.75239834563634,75.28213227894113
1,60.0,1.8108572627255457,0.18768099727232695,259.1051778838794,41.4568284614207,64.63824129532206,44.661608023801435,69.82314253002994,48.24410070841299,75.64303071414233,52.26533581030293,82.20467883032428,56.79908781658225,89.63810348965417,61.93519133296115,98.10287801476359,67.78390309049557
2,63.83125285573265,1.6000000000000005,0.1524400000000001,238.18750000000009,40.54348410553287,68.76566540452603,43.677658476108135,74.28164443360336,47.18122448941042,80.47315700480617,51.11386689088607,87.45379400571203,55.54773482596144,95.36187415594078,60.570683734715075,104.36716020725784,66.29054125830996
3,70.0,1.3304257440432583,0.11373160036023981,213.71279244529913,39.89305458978917,75.41128151120907,42.97694814303746,81.4603329517016,46.42430727635191,88.25020249983272,50.29385922693965,95.90545863537832,54.65659566857021,104.57778740459653,59.598962597299085,114.45335768389086,65.2270578009732
4,80.0,1.0186072102831196,0.07784047179319721,191.04634005968214,40.75655254606552,86.18432172709608,43.90719796396759,93.09752337337325,47.429176290943126,100.85737428552311,51.3824859340765,109.60623844043236,55.83965520467586,119.5174713195389,60.88900125009582,130.80383735301814,66.63891837881614
5,90.0,0.8048254501002425,0.058739456251323846,182.46023483727976,43.79045636094713,96.95736194298308,47.17563474485286,104.73471379504491,50.95978793242446,113.46454607121349,55.20738059162389,123.30701824548642,59.9963400164165,134.45715523448126,65.42155765236274,147.1543170221454,71.59949664314709
6,100.0,0.6519086145811965,0.04782425724649358,183.40092528619658,48.90691340965242,107.73040215887009,52.687614499708914,116.37190421671657,56.91390642843322,126.07171785690389,61.65778588633729,137.00779805054046,67.00628515704928,149.3968391494236,73.06538275956632,163.50479669127267,79.96514933842896
7,110.0,0.5387674500671046,0.041223247897338694,191.28497783322032,56.110260164411294,118.5034423747571,60.44780892750857,128.00909463838823,65.29657821427918,138.67888964259427,70.73916888325134,150.7085778555945,76.87543193168948,164.336523064366,83.82695512414865,179.85527636039993,91.74296680476483
8,120.0,0.4527143156813864,0.03704256232952043,204.55815647096983,65.45861007071034,129.27648259064412,70.51882387678289,139.64628506005988,76.17543101308102,151.28606142828465,82.5247942013968,164.40935766064857,89.68340029236956,179.27620697930834,97.79309439678754,196.20575602952718,107.02796731304787
9,130.0,0.3857447423557376,0.03429115130649962,222.23991373857785,77.04317009604033,140.04952280653112,82.99891698040659,151.28347548173153,89.65660410968607,163.89323321397504,97.12964803149451,178.1101374657026,105.55515089691731,194.21589089425072,115.10006090399821,212.55623569865446,125.96927863004211
10,140.0,0.3326064360108146,0.03242072502251499,243.68684361132478,90.97642161489458,150.82256302241814,98.00926487547514,162.9206659034032,105.87099422148134,176.50040499966545,114.69553757463721,191.81091727075665,124.644791999743,209.15557480919307,135.91589826390552,228.90671536778171,148.7508131984284
11,150.0,0.2897371620360874,0.031113433530171573,268.46257234942067,107.38502893976826,161.59560323830513,115.68632353523138,174.55785632507485,124.96600302088049,189.10757678535583,135.38215070549924,205.5116970758107,147.12586358631214,224.09525872413542,160.4298389557076,245.257195036909,175.5796732448324
12,160.0,0.2546518025707799,0.030177529487074826,296.26267301492055,126.40540715303275,172.36864345419215,136.17705347651932,186.1950467467465,147.10037933687786,201.71474857104621,159.36146826184205,219.21247688086473,173.18526495719055,239.0349426390778,188.84568280059037,261.6076747060363,206.67890397234163
13,170.0,0.2255739150799988,0.029493295967061406,326.86953139729985,148.18085423344257,183.14168367007915,159.63583018813677,197.83223716841817,172.44088175605418,214.3219203567366,186.81414846713574,232.91325668591878,203.01932551772074,253.97462655402015,221.3775124493781,277.95815437516353,242.28280444978137
14,180.0,0.20120636252506063,0.02898371601570774,360.12424820931994,172.85963914047358,193.91472388596617,186.2223844164038,209.46942759008982,201.1600536899138,226.92909214242698,217.92711654564005,246.61403649097284,236.83118530447302,268.9143104689625,258.2468370409674,294.3086340442908,282.6338015378989
15,190.0,0.18058410376210432,0.02859792030804656,395.9086059108577,200.59369366150125,204.68776410185316,216.1003928868672,221.10661801176147,233.4347010525361,239.5362639281174,252.89191551166994,260.3148162960269,274.82900271386944,283.8539943839049,299.6806378633606,310.65911371341804,327.98031099675194
16,200.0,0.16297715364529913,0.028301516077905847,434.1331813215491,231.5376967048262,215.46080431774018,249.43649180949419,232.74380843343314,269.44482663493204,252.14343571380778,291.90355172208234,274.0155961010809,317.2246999122212,298.7936782988472,345.9100003163895,327.00959338254535,378.5752402608816
17,210.0,0.14782508267147312,0.028070760498274564,474.72932182725543,265.848420223263,226.2338445336272,286.39957223952416,244.3809988551048,309.3728689438698,264.7506074994982,335.15967027090835,287.716375906135,364.23306670004035,313.7333622137896,397.169136742232,343.3600730516726,434.6749189930064
18,220.0,0.13469186251677615,0.02788895299358367,517.6436139583051,303.6842535222056,237.0068847495142,327.1602676126347,256.01818927677647,353.40314863011184,277.35777928518854,382.85995527635976,301.417155711189,416.0711087769948,328.673046128732,453.69467575669734,359.71055272079985,496.5383213048913
19,230.0,0.1232341426429483,0.027744146041734183,562.8339972737612,345.2048516612402,247.77992496540122,371.890574966585,267.6553796984481,401.72145932667695,289.96495107087895,435.2056866147023,315.11793551624305,472.9575660246997,343.61273004367433,515.7251369723494,376.0610323899271,564.4264908771202
20,240.0,0.1131785789203466,0.027627660145595027,610.2669871177426,390.57087175535526,258.55296518128824,420.763570857449,279.29257012011976,454.51476077753694,302.5721228565693,492.3994074706614,328.81871532129713,535.1125512188125,358.5524139586167,583.5005370408497,392.41151205905436,638.6021097989249
21,250.0,0.10430537833299146,0.027533100985510234,659.9156588457914,439.943772563861,269.3260053971752,473.95319545595225,290.92976054179144,511.9709456154257,315.1792946422597,554.6446716757298,342.51949512635116,602.7572754502237,373.49209787355903,657.2620902451375,408.76199172818167,719.3291708864559
